Instance,Vogel,Vogel-TOCM,Russel,Russel-TOCM
297,1925875,1925875,1825365,1828534
298,1986873,1986873,1831796,1830727
299,1977911,1977911,1883392,1881836
300,2012261,2012261,1856727,1855408
301,1827025,1340148,1232163,1216987
302,1829329,1417266,1256194,1275247
303,1748056,1465834,1222896,1222648
304,1682244,1357462,1157675,1151124
305,1698106,1473984,1269067,1275130
306,1602578,1334622,1187306,1188759
307,1564669,1367647,1225249,1227975
308,1746972,1511057,1305798,1299426
309,1572855,1295548,1150146,1124787
310,1820696,1373522,1267341,1239008
311,238923,228371,298445,251631
312,374559,374559,452795,443059
313,316369,304650,418931,344043
314,406706,404407,521794,473025
315,389737,358621,468649,482824
316,416596,397561,515425,516465
317,419147,404544,480977,434746
318,493815,479730,564161,575419
319,291591,287563,391478,382231
320,463952,453527,604593,541492
321,2849687,2849687,2851435,2851435
322,2860939,2860939,2862404,2862404
323,2907257,2907257,2908352,2909864
324,2801841,2801841,2803222,2803222
325,2920849,2920849,2922186,2921875
326,2901585,2901702,2902665,2901752
327,2978798,2978390,2979446,2979402
328,2797900,2796700,2798388,2798846
329,2944391,2944351,2945968,2945808
330,2622284,2622284,2624256,2624256
331,2779764,2780817,2770724,2772380
332,2714895,2716333,2728007,2715333
333,2631184,2639068,2626015,2628390
334,2762045,2761317,2775545,2775394
335,2510918,2510918,2522991,2522076
336,2764570,2763053,2767786,2771807
337,2631937,2631277,2648416,2646824
338,2821254,2827521,2833763,2831698
339,2670271,2660276,2671535,2670249
340,2819359,2819359,2847235,2833746
341,1629784,1629898,1683764,1695975
342,1720990,1706848,1752313,1752313
343,1811225,1802248,1842174,1847452
344,1753618,1754095,1814750,1774338
345,1734487,1746037,1781006,1749360
346,1746484,1769654,1784460,1772251
347,1951079,1866868,1863836,1856633
348,1712389,1700918,1721157,1709862
349,1840331,1829112,1861010,1871496
350,1781373,1781261,1833589,1836553
351,644945,613759,682863,668909
352,561951,572844,678466,727673
353,635364,638388,846178,835702
354,746097,736638,825845,823389
355,696434,726850,799439,742766
356,692088,657333,746362,741660
357,550410,546791,589157,615836
358,760315,653037,681657,692887
359,635397,626481,677371,672261
360,756099,736749,744801,769450
